#,Job_ID,WeatherFile, ModelFile, @@building_fabrics@@, @@orientation@@, @@glazing_ratio@@, @@glazing_coating@@, @@overhang@@, @@infiltration_rate@@, @@fresh_air@@, @@lighting_density@@, @@equipment_open@@, @@occupancy_open@@,Message, Warnings, Errors, Hours, Minutes, Seconds,c0: InteriorLights:Electricity [J](RunPeriod),c1: InteriorEquipment:Electricity [J](RunPeriod),c2: Heating:DistrictHeating [J](RunPeriod),c3: Cooling:DistrictCooling [J](RunPeriod)
0,LHS-000000,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF5,225,50, Non_reflective, Overhang,0.9,0.005,20,20,12,EnergyPlus Completed Successfully,2,0,0,0,8.72,3.10E+11,3.35E+11,9.51E+10,2.64E+11
1,LHS-000001,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF5,0,75, Non_reflective, none,0.3,0.005,4,20,6,EnergyPlus Completed Successfully,2,0,0,0,8.21,6.77E+10,3.35E+11,7.10E+10,4.50E+11
2,LHS-000002,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF5,45,75, Reflective, none,0.5,0.02,12,10,6,EnergyPlus Completed Successfully,2,0,0,0,9.38,1.86E+11,1.67E+11,5.44E+11,8.69E+10
3,LHS-000003,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF2,135,25, Non_reflective, none,0.9,0.01,8,10,6,EnergyPlus Completed Successfully,2,0,0,0,7.85,1.27E+11,1.67E+11,4.79E+11,3.57E+10
4,LHS-000004,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,225,75, Reflective, none,0.3,0.01,16,25,9,EnergyPlus Completed Successfully,2,0,0,0,14.47,2.46E+11,3.74E+11,8.33E+10,2.84E+11
5,LHS-000005,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF3,180,75, Reflective, Overhang,0.3,0.015,20,15,6,EnergyPlus Completed Successfully,2,0,0,0,8.29,3.10E+11,2.52E+11,3.80E+11,1.20E+11
6,LHS-000006,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,90,75, Non_reflective, none,0.1,0.005,12,25,12,EnergyPlus Completed Successfully,2,0,0,0,16.56,1.86E+11,3.74E+11,1.26E+10,6.46E+11
7,LHS-000007,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,315,25, Reflective, none,0.1,0.01,24,10,9,EnergyPlus Completed Successfully,2,0,0,0,13.5,3.66E+11,1.30E+11,3.99E+10,1.96E+11
8,LHS-000008,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,270,25, Reflective, Overhang,0.7,0.005,8,25,15,EnergyPlus Completed Successfully,2,0,0,0,14.61,1.27E+11,3.74E+11,1.00E+11,1.09E+11
9,LHS-000009,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF4,270,75, Non_reflective, none,0.5,0.015,20,20,6,EnergyPlus Completed Successfully,2,0,0,0,11.66,2.82E+11,2.28E+11,2.07E+11,3.24E+11
