#,Job_ID,Reserved,v1: Lighting Electricity [kWh],s1: Electricity [kWh],s1: normalized,t1: Heating [kWh],t2: Cooling [kWh]
0,LHS-000578,,69247.152,139270.518,0.1309017266666667,45531.47510738917,27071.931772062697
0,LHS-000579,,102868.272,149979.16799999998,0.1665972266666666,191507.9928078653,16386.669827901027
0,LHS-000574,,35195.472,81719.523,0.0,115627.69989293972,8795.613966759194
0,LHS-000575,,18600.192,87743.2905,0.0,155415.74183932086,7681.223913514305
0,LHS-000576,,93227.472,115894.998,0.05298332666666669,191498.1335277958,26498.676251743196
0,LHS-000577,,18815.472,111751.308,0.039171026666666685,195304.63479909638,19585.850242758614
0,LHS-000570,,52436.592,122459.958,0.07486652666666667,60291.057484037505,36928.825740358334
0,LHS-000571,,18815.472,134663.778,0.11554592666666663,81250.3474793964,35511.15634032972
0,LHS-000700,,35195.472,139217.5755,0.13072525166666668,45683.82360394778,50449.11236237834
0,LHS-000572,,35626.032,82736.928,0.0,85567.03324794304,9308.067833443445
0,LHS-000701,,86057.712,201906.01799999998,0.3396867266666666,15159.39280510353,127331.90520615723
0,LHS-000702,,93227.472,136255.968,0.12085322666666665,151884.77961909777,15820.773725400057
0,LHS-000573,,84981.31199999999,131505.363,0.1050178766666667,118073.49407978279,29736.164807421115
0,LHS-000978,,51790.75199999999,143552.89800000002,0.14517632666666672,172179.36526025305,14791.606334630305
0,LHS-000979,,35195.472,93979.4805,0.0,201854.8020458397,10460.301940108806
0,LHS-000986,,93227.472,156616.938,0.18872312666666666,37984.70207416833,47646.528947146115
0,LHS-000985,,84981.31199999999,121146.273,0.07048757666666668,129882.14970547278,28014.01329214
0,LHS-000988,,51790.75199999999,110574.7605,0.03524920166666668,68584.39478761583,36656.06701017445
0,LHS-000987,,51790.75199999999,155812.85549999998,0.1860428516666666,176667.82665594306,14805.2986004665
0,LHS-000157,,35626.032,151474.338,0.17158112666666664,52603.67055216889,42702.906519147225
0,LHS-000982,,102868.272,172891.63799999998,0.2429721266666666,39674.450061672775,35116.56347391111
